,Player,Division,Conference,Power5,School,Drafted?,position_pick_number,G,Rec,Rec Yds,Rec TD,Rec Yds/Rec,Rec Yds/G,Rec TD/G
34,Adrian Wilkins,FCS,MEAC,N,N.C. Central,N,Undrafted,22,88,992,5,11.3,45.1,0.2
35,Ahmad Edwards,FCS,ASUN,N,Jacksonville St.,N,Undrafted,23,62,845,8,13.6,36.7,0.3
36,Ahmere Dorsey,FCS,CAA,N,Rhode Island,N,Undrafted,12,43,605,4,14.1,50.4,0.3
37,Ahmmon Richards,FBS,ACC,Y,Miami (FL),N,Undrafted,13,49,934,3,19.1,71.8,0.2
38,Ainias Smith,FBS,SEC,Y,Texas A&M,Y,22.0,12,53,795,2,15.0,66.2,0.2
39,Ajalen Holley,FBS,Sun Belt,N,ULM,N,Undrafted,24,117,1572,13,13.4,65.5,0.5
40,Akile Davis,FCS,Southland,N,Northwestern St.,N,Undrafted,12,59,762,4,12.9,63.5,0.3
41,Al Riles,FBS,Sun Belt,N,Louisiana,N,Undrafted,13,60,729,2,12.2,56.1,0.2
42,Alec Pierce,FBS,AAC,N,Cincinnati,Y,12.0,28,89,1536,9,17.3,54.9,0.3
43,Alex Adams,FBS,MAC,N,Akron,N,Undrafted,11,63,856,9,13.6,77.8,0.8
44,Alex Amidon,FBS,ACC,Y,Boston College,N,Undrafted,13,77,1032,5,13.4,79.4,0.4
45,Alex Erickson,FBS,Big Ten,Y,Wisconsin,N,Undrafted,27,132,1750,6,13.3,64.8,0.2
46,Alex Greenawalt,FCS,Patriot,N,Colgate,N,Undrafted,14,40,598,5,15.0,42.7,0.4
47,Alex Holmes,FCS,Big Sky,N,Northern Ariz.,N,Undrafted,24,86,984,6,11.4,41.0,0.2
48,Alex Jette,FCS,Ivy League,N,Brown,N,Undrafted,20,122,1446,7,11.9,72.3,0.4
49,Alex Kuzy,FCS,Ivy League,N,Cornell,N,Undrafted,10,43,583,2,13.6,58.3,0.2
50,Alex Neutz,FBS,MAC,N,Buffalo,N,Undrafted,13,61,1024,12,16.8,78.8,0.9
51,Alex Toureen,FCS,Big Sky,N,Portland St.,N,Undrafted,12,37,541,2,14.6,45.1,0.2
52,Alex Wesley,FCS,Big Sky,N,Northern Colo.,N,Undrafted,20,112,2060,10,18.4,103.0,0.5
53,Alexander Hollins,FCS,OVC,N,Eastern Ill.,N,Undrafted,22,126,1784,23,14.2,81.1,1.0
54,Alfonso Onunwor,FBS,Sun Belt,N,Idaho,N,Undrafted,11,64,856,8,13.4,77.8,0.7
55,Alfred Jordan Jr.,FCS,Big Sky,N,Idaho St.,N,Undrafted,11,44,479,3,10.9,43.5,0.3
56,Ali Jennings,FBS,Sun Belt,N,Old Dominion,N,Undrafted,22,116,2025,14,17.5,92.0,0.6
57,Allen Hurns,FBS,ACC,Y,Miami (FL),N,Undrafted,13,62,1162,6,18.7,89.4,0.5
58,Allen Lazard,FBS,Big 12,Y,Iowa St.,N,Undrafted,48,241,3360,26,13.9,70.0,0.5
59,Allen Muse,FBS,Sun Belt,N,Arkansas St.,N,Undrafted,13,29,370,2,12.8,28.5,0.2
60,Allen Robinson,FBS,Big Ten,Y,Penn St.,Y,11.0,12,97,1432,6,14.8,119.3,0.5
61,Allenzae Staggers,FBS,CUSA,N,Southern Miss.,N,Undrafted,13,63,1165,7,18.5,89.6,0.5
62,Alonzo Russell,FBS,MAC,N,Toledo,N,Undrafted,37,146,2116,19,14.5,57.2,0.5
63,Alton Howard,FBS,SEC,Y,Tennessee,N,Undrafted,25,98,1006,4,10.3,40.2,0.2
64,Alvin Bailey,FCS,MVFC,N,Youngstown St.,N,Undrafted,15,47,511,5,10.9,34.1,0.3
65,Amad Anderson Jr.,FBS,AAC,N,Temple,N,Undrafted,11,37,647,3,17.5,58.8,0.3
66,Amara Darboh,FBS,Big Ten,Y,Michigan,Y,14.0,26,115,1589,12,13.8,61.1,0.5
67,Amari Cooper,FBS,SEC,Y,Alabama,Y,1.0,26,169,2463,20,14.6,94.7,0.8
68,Amari Rodgers,FBS,ACC,Y,Clemson,Y,13.0,27,132,1595,11,12.1,59.1,0.4
69,Amba Etta-Tawo,FBS,ACC,Y,Syracuse,N,Undrafted,24,125,1982,16,15.9,82.6,0.7
70,Amir Abdur-Rahman,FBS,SEC,Y,Vanderbilt,N,Undrafted,9,27,406,1,15.0,45.1,0.1
71,Amon-Ra St. Brown,FBS,Pac-12,Y,Southern California,Y,17.0,31,178,2270,16,12.8,73.2,0.5
72,Anas Hasic,FCS,MEAC,N,N.C. Central,N,Undrafted,11,36,530,4,14.7,48.2,0.4
73,Andre Baccellia,FBS,Pac-12,Y,Washington,N,Undrafted,14,55,584,0,10.6,41.7,0.0
74,Andre Davis,FBS,AAC,N,South Fla.,N,Undrafted,24,91,1195,5,13.1,49.8,0.2
75,Andre Dennis,FCS,Southland,N,Lamar University,N,Undrafted,11,36,481,3,13.4,43.7,0.3
76,Andre Dessenberg,FCS,CAA,N,Towson,N,Undrafted,26,78,1079,4,13.8,41.5,0.2
77,Andre Levrone,FBS,ACC,Y,Virginia,N,Undrafted,13,34,689,7,20.3,53.0,0.5
78,Andre Lindsey,FCS,Big Sky,N,Sacramento St.,N,Undrafted,11,25,756,7,30.2,68.7,0.6
79,Andre Miller,FCS,CAA,N,Maine,N,Undrafted,14,60,1032,9,17.2,73.7,0.6
80,Andre Pegues,FCS,MEAC,N,Norfolk St.,N,Undrafted,10,24,474,2,19.8,47.4,0.2
81,Andre Stubbs,FCS,MVFC,N,Youngstown St.,N,Undrafted,23,67,838,8,12.5,36.4,0.3
82,Andre Williams,FBS,MAC,N,Akron,N,Undrafted,11,46,649,6,14.1,59.0,0.5
83,Andre Wilson,FBS,CUSA,N,UAB,N,Undrafted,13,54,677,6,12.5,52.1,0.5
84,Andrei Iosivas,FCS,Ivy League,N,Princeton,Y,25.0,20,107,1646,12,15.4,82.3,0.6
85,Andrej Suttles,FCS,SoCon,N,Furman,N,Undrafted,47,178,2473,14,13.9,52.6,0.3
86,Andrew Armstrong,FBS,SEC,Y,Arkansas,N,Undrafted,12,56,764,5,13.6,63.7,0.4
87,Andrew Boston,FCS,Big Sky,N,Eastern Wash.,N,Undrafted,45,188,2622,20,13.9,58.3,0.4
88,Andrew Cassara,FCS,Pioneer,N,Valparaiso,N,Undrafted,21,96,1039,8,10.8,49.5,0.4
89,Andrew Edgar,FCS,MVFC,N,Illinois St.,N,Undrafted,11,44,746,4,17.0,67.8,0.4
90,Andrew Fischer,FCS,Ivy League,N,Harvard,N,Undrafted,16,79,962,7,12.2,60.1,0.4
91,Andrew Flory,FBS,MAC,N,Central Mich.,N,Undrafted,12,32,384,2,12.0,32.0,0.2
92,Andrew Guillot,FBS,CUSA,N,Louisiana Tech,N,Undrafted,9,26,320,2,12.3,35.6,0.2
93,Andrew Harris,FCS,SoCon,N,Samford,N,Undrafted,11,36,497,4,13.8,45.2,0.4
94,Andrew King,FCS,MEAC,N,Morgan St.,N,Undrafted,20,86,997,9,11.6,49.8,0.4
95,Andrew O'Neill,FCS,NEC,N,Sacred Heart,N,Undrafted,11,59,690,4,11.7,62.7,0.4
96,Andrew Parchment,FBS,Big 12,Y,Kansas,N,Undrafted,12,65,831,7,12.8,69.2,0.6
97,Andrew Williams,FCS,MVFC,N,Youngstown St.,N,Undrafted,34,113,1946,13,17.2,57.2,0.4
98,Andy Isabella,FBS,FBS Independent,N,Massachusetts,Y,7.0,12,102,1698,13,16.6,141.5,1.1
99,Andy Jones,FCS,Pioneer,N,Jacksonville,N,Undrafted,32,136,2020,16,14.9,63.1,0.5
100,Anthony Frederick,FCS,OVC,N,Bryant,N,Undrafted,33,103,1642,19,15.9,49.8,0.6
101,Anthony Gould,FBS,Pac-12,Y,Oregon St.,Y,21.0,11,44,718,2,16.3,65.3,0.2
102,Anthony Johnson,FCS,CAA,N,Stony Brook,N,Undrafted,40,168,2783,29,16.6,69.6,0.7
103,Anthony Mahoungou,FBS,Big Ten,Y,Purdue,N,Undrafted,13,40,688,8,17.2,52.9,0.6
104,Anthony McClung,FBS,AAC,N,Cincinnati,N,Undrafted,12,72,939,5,13.0,78.2,0.4
105,Anthony McGhee,FCS,SWAC,N,Grambling,N,Undrafted,11,45,552,6,12.3,50.2,0.5
106,Anthony Miller,FBS,AAC,N,Memphis,Y,6.0,38,238,3590,37,15.1,94.5,1.0
107,Anthony Olivencia,FCS,Pioneer,N,Marist,N,Undrafted,22,77,1276,5,16.6,58.0,0.2
108,Anthony Queeley,FBS,ACC,Y,Syracuse,N,Undrafted,11,37,378,2,10.2,34.4,0.2
109,Anthony Ratliff-Williams,FBS,ACC,Y,North Carolina,N,Undrafted,23,77,1319,8,17.1,57.3,0.3
110,Anthony Rice,FBS,MAC,N,Central Mich.,N,Undrafted,13,57,595,4,10.4,45.8,0.3
111,Anthony Schwartz,FBS,SEC,Y,Auburn,Y,15.0,10,54,636,3,11.8,63.6,0.3
112,Anthony Simpson,FBS,FBS Independent,N,Massachusetts,N,Undrafted,12,57,792,3,13.9,66.0,0.2
113,Anthony Stell Jr.,FCS,Big Sky,N,Eastern Wash.,N,Undrafted,7,17,282,3,16.6,40.3,0.4
114,Anthony Warrum,FCS,MVFC,N,Illinois St.,N,Undrafted,36,130,2645,29,20.3,73.5,0.8
115,Antoine Green,FBS,ACC,Y,North Carolina,Y,27.0,22,74,1410,12,19.1,64.1,0.5
116,Antoine Murray,FCS,MEAC,N,Howard,N,Undrafted,22,73,1244,11,17.0,56.5,0.5
117,Antoine Porter,FBS,MAC,N,Eastern Mich.,N,Undrafted,12,46,548,4,11.9,45.7,0.3
118,Antoine Wesley,FBS,Big 12,Y,Texas Tech,N,Undrafted,12,88,1410,9,16.0,117.5,0.8
119,Antonio Callaway,FBS,SEC,Y,Florida,Y,12.0,26,89,1399,7,15.7,53.8,0.3
120,Antonio Gandy-Golden,FBS,FBS Independent,N,Liberty,Y,18.0,13,79,1396,10,17.7,107.4,0.8
121,Antonio Gibson,FBS,AAC,N,Memphis,N,Undrafted,14,38,735,8,19.3,52.5,0.6
122,Antonio Jones,FCS,SWAC,N,Grambling,N,Undrafted,11,43,598,2,13.9,54.4,0.2
123,Antonio Mullins,FCS,SWAC,N,Prairie View,N,Undrafted,12,48,575,3,12.0,47.9,0.2
124,Antonio Nunn,FBS,MAC,N,Buffalo,N,Undrafted,19,86,1271,8,14.8,66.9,0.4
125,Antonio Williams,FBS,ACC,Y,Clemson,N,Undrafted,14,56,604,4,10.8,43.1,0.3
126,Antwan Davis,FBS,MAC,N,Ball St.,N,Undrafted,8,39,456,1,11.7,57.0,0.1
127,Antwan Goodley,FBS,Big 12,Y,Baylor,N,Undrafted,24,131,2169,19,16.6,90.4,0.8
128,Antwane Grant,FBS,CUSA,N,Western Ky.,N,Undrafted,14,55,701,7,12.7,50.1,0.5
129,Antwane Wells Jr.,FBS,SEC,Y,South Carolina,N,Undrafted,35,184,2781,27,15.1,79.5,0.8
130,ArDarius Stewart,FBS,SEC,Y,Alabama,Y,9.0,27,117,1564,12,13.4,57.9,0.4
131,Aris Scott,FCS,MEAC,N,Delaware St.,N,Undrafted,22,86,1216,5,14.1,55.3,0.2
132,Armani Martin,FCS,Pioneer,N,Marist,N,Undrafted,21,84,1324,18,15.8,63.0,0.9
133,Artavis Scott,FBS,ACC,Y,Clemson,N,Undrafted,43,245,2480,19,10.1,57.7,0.4
134,Arthur Jackson III,FBS,MAC,N,Eastern Mich.,N,Undrafted,26,92,1324,12,14.4,50.9,0.5
135,Arthur Williams,FCS,CAA,N,Maine,N,Undrafted,12,24,344,3,14.3,28.7,0.2
136,Ashton Clark,FCS,Big Sky,N,Eastern Wash.,N,Undrafted,15,83,1233,10,14.9,82.2,0.7
137,Ashtyn Hawkins,FBS,Sun Belt,N,Texas St.,N,Undrafted,22,111,1461,10,13.2,66.4,0.5
138,Assanti Kearney,FCS,CAA,N,Monmouth,N,Undrafted,22,69,1132,8,16.4,51.5,0.4
139,Auden Tate,FBS,ACC,Y,Florida St.,Y,29.0,12,40,548,10,13.7,45.7,0.8
140,Aulden Knight,FCS,MEAC,N,Hampton,N,Undrafted,11,28,601,6,21.5,54.6,0.5
141,Austin Carr,FBS,Big Ten,Y,Northwestern,N,Undrafted,13,90,1247,12,13.9,95.9,0.9
142,Austin Conway,FBS,Mountain West,N,Wyoming,N,Undrafted,13,61,549,3,9.0,42.2,0.2
143,Austin Duke,FBS,CUSA,N,Charlotte,N,Undrafted,23,121,1530,10,12.6,66.5,0.4
144,Austin Franklin,FBS,FBS Independent,N,New Mexico St.,N,Undrafted,8,52,670,7,12.9,83.8,0.9
145,Austin Hill,FBS,Pac-12,Y,Arizona,N,Undrafted,14,49,635,4,13.0,45.4,0.3
146,Austin Longi,FCS,Patriot,N,Fordham,N,Undrafted,22,120,1490,10,12.4,67.7,0.5
147,Austin Maloney,FBS,CUSA,N,FIU,N,Undrafted,26,63,1249,7,19.8,48.0,0.3
148,Austin Mitchell,FCS,Southland,N,Southeastern La.,N,Undrafted,26,135,2080,18,15.4,80.0,0.7
149,Austin Osborne,FBS,MAC,N,Bowling Green,N,Undrafted,12,64,546,2,8.5,45.5,0.2
150,Austin Proehl,FBS,ACC,Y,North Carolina,Y,30.0,13,43,597,3,13.9,45.9,0.2
151,Austin Trammell,FBS,CUSA,N,Rice,N,Undrafted,25,122,1358,7,11.1,54.3,0.3
152,Austin Watkins,FBS,CUSA,N,UAB,N,Undrafted,21,91,1560,9,17.1,74.3,0.4
153,Austin Williams,FBS,SEC,Y,Mississippi St.,N,Undrafted,24,95,989,7,10.4,41.2,0.3
154,Austin Wolf,FBS,MAC,N,Akron,N,Undrafted,12,36,550,5,15.3,45.8,0.4
155,Avante Cox,FCS,MVFC,N,Southern Ill.,N,Undrafted,43,202,2806,23,13.9,65.3,0.5
156,Avery Ward,FCS,SoCon,N,Mercer,N,Undrafted,11,40,481,6,12.0,43.7,0.5
157,Ayir Asante,FCS,Patriot,N,Holy Cross,N,Undrafted,26,91,1226,10,13.5,47.2,0.4
158,BJ Byrd,FCS,Pioneer,N,Morehead St.,N,Undrafted,18,121,1780,21,14.7,98.9,1.2
159,BJ Casteel,FBS,Mountain West,N,Nevada,N,Undrafted,12,48,581,4,12.1,48.4,0.3
160,BJ Johnson III,FBS,Sun Belt,N,Ga. Southern,N,Undrafted,12,42,600,3,14.3,50.0,0.2
161,Bailey Gaither,FBS,Mountain West,N,San Jose St.,N,Undrafted,19,93,1537,10,16.5,80.9,0.5
162,Barion Brown,FBS,SEC,Y,Kentucky,N,Undrafted,26,93,1167,8,12.5,44.9,0.3
163,Bartley Leneghan,FCS,Pioneer,N,Marist,N,Undrafted,11,45,833,8,18.5,75.7,0.7
164,Beau Corrales,FBS,ACC,Y,North Carolina,N,Undrafted,13,40,575,6,14.4,44.2,0.5
165,Beau Kelly,FCS,Big Sky,N,Portland St.,N,Undrafted,22,110,1635,15,14.9,74.3,0.7
166,Ben Axline,FCS,OVC,N,UT Martin,N,Undrafted,12,35,659,4,18.8,54.9,0.3
167,Ben Bolling,FCS,Pioneer,N,Campbell,N,Undrafted,11,32,495,5,15.5,45.0,0.5
168,Ben Edwards,FCS,CAA,N,Richmond,N,Undrafted,9,74,706,5,9.5,78.4,0.6
169,Ben Ratzlaff,FCS,Southland,N,Houston Christian,N,Undrafted,16,116,1538,15,13.3,96.1,0.9
170,Ben Roberts,FCS,Big Sky,N,Montana,N,Undrafted,13,65,647,5,10.0,49.8,0.4
171,Ben Skowronek,FBS,ACC,Y,Notre Dame,Y,31.0,11,29,439,5,15.1,39.9,0.5
172,Benjamin Waters,FBS,Mountain West,N,Air Force,N,Undrafted,13,22,658,7,29.9,50.6,0.5
173,Bennett Skowronek,FBS,Big Ten,Y,Northwestern,N,Undrafted,14,45,562,3,12.5,40.1,0.2
174,Bennie Fowler,FBS,Big Ten,Y,Michigan St.,N,Undrafted,13,36,622,6,17.3,47.8,0.5
175,Bernard Reedy,FBS,MAC,N,Toledo,N,Undrafted,12,62,840,8,13.5,70.0,0.7
176,Billy Kemp,FBS,ACC,Y,Virginia,N,Undrafted,22,141,1369,7,9.7,62.2,0.3
177,Billy Ray Stutzmann,FBS,Mountain West,N,Hawaii,N,Undrafted,9,22,358,4,16.3,39.8,0.4
178,Billy Reed,FCS,MVFC,N,Southern Ill.,N,Undrafted,22,101,1385,9,13.7,63.0,0.4
179,Blair Roberts,FCS,NEC,N,Duquesne,N,Undrafted,10,47,782,8,16.6,78.2,0.8
180,Blair Townsend,FCS,Big Sky,N,North Dakota,N,Undrafted,11,29,312,1,10.8,28.4,0.1
181,Blaise Bell,FCS,Patriot,N,Holy Cross,N,Undrafted,11,46,601,8,13.1,54.6,0.7
182,Blake Gardner,FCS,Southland,N,Central Ark.,N,Undrafted,12,35,271,0,7.7,22.6,0.0
183,Blake Haggerty,FCS,Big Sky,N,Northern Colo.,N,Undrafted,10,49,515,2,10.5,51.5,0.2
184,Blake Proehl,FBS,AAC,N,East Carolina,N,Undrafted,21,101,1247,8,12.3,59.4,0.4
185,Blayne Taylor,FCS,ASUN,N,Abilene Christian,N,Undrafted,11,41,620,7,15.1,56.4,0.6
186,Bo Belquist,FCS,MVFC,N,North Dakota,N,Undrafted,40,206,2373,20,11.5,59.3,0.5
187,Bo Hines,FBS,ACC,Y,NC State,N,Undrafted,13,45,616,1,13.7,47.4,0.1
188,Bo Melton,FBS,Big Ten,Y,Rutgers,Y,26.0,20,102,1256,9,12.3,62.8,0.4
189,Bo Patterson,FCS,Ivy League,N,Dartmouth,N,Undrafted,10,25,395,6,15.8,39.5,0.6
190,Bob Pugh,FCS,MVFC,N,Indiana St.,N,Undrafted,11,28,722,3,25.8,65.6,0.3
191,Bobby Chan-Chan,FCS,Southland,N,Northwestern St.,N,Undrafted,10,32,614,6,19.2,61.4,0.6
192,Boogie Knight,FBS,Sun Belt,N,ULM,N,Undrafted,12,44,587,3,13.3,48.9,0.2
193,Booker Chambers,FCS,SWAC,N,Mississippi Val.,N,Undrafted,11,46,576,4,12.5,52.4,0.4
194,Brad Clark,FCS,OVC,N,Tennessee Tech,N,Undrafted,11,42,491,1,11.7,44.6,0.1
195,Brad Harris,FCS,CAA,N,UAlbany,N,Undrafted,12,26,448,2,17.2,37.3,0.2
196,Braden Smith,FBS,Big 12,Y,Cincinnati,N,Undrafted,12,43,557,4,13.0,46.4,0.3
197,Bradley Marquez,FBS,Big 12,Y,Texas Tech,N,Undrafted,25,114,1454,16,12.8,58.2,0.6
198,Bradley Rozner,FBS,CUSA,N,Rice,N,Undrafted,25,99,1646,15,16.6,65.8,0.6
199,Bralon Addison,FBS,Pac-12,Y,Oregon,N,Undrafted,26,124,1694,17,13.7,65.2,0.7
200,Branden Mack,FBS,AAC,N,Temple,N,Undrafted,26,103,1505,12,14.6,57.9,0.5
201,Brandin Cooks,FBS,Pac-12,Y,Oregon St.,Y,4.0,13,128,1730,16,13.5,133.1,1.2
202,Brandon Acker,FCS,Southland,N,Southeastern La.,N,Undrafted,11,32,687,7,21.5,62.5,0.6
203,Brandon Aiyuk,FBS,Pac-12,Y,Arizona St.,Y,6.0,12,65,1192,8,18.3,99.3,0.7
204,Brandon Arconado,FBS,Pac-12,Y,Washington St.,N,Undrafted,11,78,1109,7,14.2,100.8,0.6
205,Brandon Bowling,FBS,Mountain West,N,Utah St.,N,Undrafted,25,95,1342,17,14.1,53.7,0.7
206,Brandon Braxton,FBS,ACC,Y,Duke,N,Undrafted,14,39,361,2,9.3,25.8,0.1
207,Brandon Carter,FBS,Big 12,Y,TCU,N,Undrafted,11,31,370,0,11.9,33.6,0.0
208,Brandon Coleman,FBS,AAC,N,Rutgers,N,Undrafted,13,34,538,4,15.8,41.4,0.3
209,Brandon Cox,FCS,Southland,N,Central Ark.,N,Undrafted,12,43,816,6,19.0,68.0,0.5
210,Brandon Felder,FBS,Big Ten,Y,Penn St.,N,Undrafted,11,28,312,3,11.1,28.4,0.3
211,Brandon Flanagan,FCS,MEAC,N,Howard,N,Undrafted,11,42,368,2,8.8,33.5,0.2
212,Brandon Hubert,FCS,MVFC,N,South Dakota St.,N,Undrafted,14,36,423,4,11.8,30.2,0.3
213,Brandon Johnson,FBS,AAC,N,UCF,N,Undrafted,13,38,565,11,14.9,43.5,0.8
214,Brandon Kensey,FCS,SWAC,N,Ark.-Pine Bluff,N,Undrafted,11,20,283,4,14.2,25.7,0.4
215,Brandon Lewis,FBS,Mountain West,N,Air Force,N,Undrafted,13,20,600,3,30.0,46.2,0.2
216,Brandon Norwood,FCS,MEAC,N,Florida A&M,N,Undrafted,23,85,1016,4,12.0,44.2,0.2
217,Brandon Polk,FCS,CAA,N,James Madison,N,Undrafted,16,74,1179,11,15.9,73.7,0.7
218,Brandon Porter,FCS,Southland,N,UIW,N,Undrafted,33,189,2871,23,15.2,87.0,0.7
219,Brandon Presley,FBS,Mountain West,N,UNLV,N,Undrafted,12,34,552,3,16.2,46.0,0.2
220,Brandon Ravenel,FCS,CAA,N,James Madison,N,Undrafted,51,160,2250,15,14.1,44.1,0.3
221,Brandon Reilly,FBS,Big Ten,Y,Nebraska,N,Undrafted,13,40,754,4,18.8,58.0,0.3
222,Brandon Sanders,FCS,Patriot,N,Bucknell,N,Undrafted,14,67,780,2,11.6,55.7,0.1
223,Brandon Schenks,FCS,Big Sky,N,Southern Utah,N,Undrafted,17,54,832,12,15.4,48.9,0.7
224,Brandon Sheperd,FBS,Big 12,Y,Oklahoma St.,N,Undrafted,13,39,737,5,18.9,56.7,0.4
225,Brandon White,FCS,Pioneer,N,San Diego,N,Undrafted,23,104,1418,21,13.6,61.7,0.9
226,Brandon Wimberly,FBS,Mountain West,N,Nevada,N,Undrafted,12,97,989,8,10.2,82.4,0.7
227,Brandt Van Roekel,FCS,MVFC,N,South Dakota,N,Undrafted,21,84,1324,14,15.8,63.0,0.7
228,Braxton Berrios,FBS,ACC,Y,Miami (FL),Y,25.0,13,55,679,9,12.3,52.2,0.7
229,Braydon Johnson,FBS,Big 12,Y,Oklahoma St.,N,Undrafted,10,32,566,3,17.7,56.6,0.3
230,Braylon Sanders,FBS,SEC,Y,Ole Miss,N,Undrafted,22,39,925,8,23.7,42.0,0.4
231,Brelan Chancellor,FBS,CUSA,N,North Texas,N,Undrafted,13,53,792,4,14.9,60.9,0.3
232,Brendan Flaherty,FCS,Patriot,N,Holy Cross,N,Undrafted,21,165,1703,16,10.3,81.1,0.8
233,Brendan O'Leary-Orange,FBS,Mountain West,N,Nevada,N,Undrafted,11,39,618,4,15.8,56.2,0.4
234,Brendan Shannon,FCS,Pioneer,N,Butler,N,Undrafted,11,76,1041,6,13.7,94.6,0.5
235,Brenden Rice,FBS,Pac-12,Y,Southern California,Y,32.0,26,84,1402,16,16.7,53.9,0.6
236,Brennan Eagles,FBS,Big 12,Y,Texas,N,Undrafted,9,28,469,5,16.8,52.1,0.6
237,Brennan Presley,FBS,Big 12,Y,Oklahoma St.,N,Undrafted,41,218,2423,13,11.1,59.1,0.3
238,Breshad Perriman,FBS,AAC,N,UCF,Y,5.0,25,89,1855,13,20.8,74.2,0.5
239,Brett Landis,FCS,Pioneer,N,Marist,N,Undrafted,11,40,531,0,13.3,48.3,0.0
240,Brett LeMaster,FCS,MVFC,N,UNI,N,Undrafted,14,38,473,3,12.4,33.8,0.2
241,Brevin Easton,FCS,CAA,N,UAlbany,N,Undrafted,15,57,1086,13,19.1,72.4,0.9
242,Brian Brown,FCS,CAA,N,Richmond,N,Undrafted,41,236,4024,21,17.1,98.1,0.5
243,Brian Burnett,FCS,Pioneer,N,Jacksonville,N,Undrafted,10,34,675,5,19.9,67.5,0.5
244,Brian Cobbs,FBS,Mountain West,N,Utah St.,N,Undrafted,13,76,923,5,12.1,71.0,0.4
