,Player,Division,Conference,Power5,School,Drafted?,position_pick_number,G,Rush,Rush Yds,Rush TD,Rush Yds/Att,Rush Yds/G,Rush TD/G
17,Aaron Shampklin,FCS,Ivy League,N,Harvard,N,Undrafted,9,150,842,11,5.6,93.6,1.2
18,Aaron Wimberly,FBS,Big 12,Y,Iowa St.,N,Undrafted,21,288,1209,9,4.2,57.6,0.4
19,Abdul Adams,FBS,Big 12,Y,Oklahoma,N,Undrafted,12,59,542,1,9.2,45.2,0.1
20,Abou Toure,FCS,OVC,N,UT Martin,N,Undrafted,23,286,1647,10,5.8,71.6,0.4
21,Abram Smith,FBS,Big 12,Y,Baylor,N,Undrafted,14,257,1601,12,6.2,114.4,0.9
22,Aca'Cedric Ware,FBS,Pac-12,Y,Southern California,N,Undrafted,12,125,825,6,6.6,68.8,0.5
23,Adam Choice,FBS,ACC,Y,Clemson,N,Undrafted,15,77,548,7,7.1,36.5,0.5
24,Adam Cofield,FCS,MVFC,N,North Dakota St.,N,Undrafted,31,249,1376,18,5.5,44.4,0.6
25,Adam Eastwood,FCS,Big Sky,N,Montana,N,Undrafted,11,125,514,9,4.1,46.7,0.8
26,Adam Muema,FBS,Mountain West,N,San Diego St.,N,Undrafted,13,256,1244,15,4.9,95.7,1.2
27,Adeolu Adeleke,FCS,Big South,N,Kennesaw St.,N,Undrafted,16,70,530,3,7.6,33.1,0.2
28,Adrian Feliz-Platt,FCS,CAA,N,Towson,N,Undrafted,11,102,480,1,4.7,43.6,0.1
29,Adrian Killins,FBS,AAC,N,UCF,N,Undrafted,38,356,2134,21,6.0,56.2,0.6
30,Aeris Williams,FBS,SEC,Y,Mississippi St.,N,Undrafted,38,458,2351,13,5.1,61.9,0.3
31,Ahmaad Tanner,FCS,OVC,N,Austin Peay,N,Undrafted,28,370,1771,22,4.8,63.2,0.8
32,Ahmad Antoine,FCS,SWAC,N,Prairie View,N,Undrafted,20,216,1134,9,5.2,56.7,0.4
33,Ahmari Davis,FBS,Mountain West,N,New Mexico,N,Undrafted,9,140,832,7,5.9,92.4,0.8
34,Aidan Borguet,FCS,Ivy League,N,Harvard,N,Undrafted,30,412,2430,25,5.9,81.0,0.8
35,Aidan Robbins,FBS,Big 12,Y,BYU,N,Undrafted,19,310,1494,10,4.8,78.6,0.5
36,Ailym Ford,FCS,SoCon,N,Chattanooga,N,Undrafted,38,760,3832,36,5.0,100.8,0.9
37,Akaninyene Umoh,FCS,Big Sky,N,Cal Poly,N,Undrafted,12,77,454,7,5.9,37.8,0.6
38,Akeel Lynch,FBS,Big Ten,Y,Penn St.,N,Undrafted,22,207,1036,5,5.0,47.1,0.2
39,Akeem Hunt,FBS,Big Ten,Y,Purdue,N,Undrafted,24,296,1413,7,4.8,58.9,0.3
40,Akeem Judd,FBS,SEC,Y,Ole Miss,N,Undrafted,12,164,826,6,5.0,68.8,0.5
41,Akrum Wadley,FBS,Big Ten,Y,Iowa,N,Undrafted,35,503,2686,27,5.3,76.7,0.8
42,Al Wooten II,FCS,SoCon,N,Mercer,N,Undrafted,24,282,1210,10,4.3,50.4,0.4
43,Alan Barnwell,FCS,FCS Independent,N,Charlotte,N,Undrafted,11,133,636,5,4.8,57.8,0.5
44,Alan Lamar,FCS,Ivy League,N,Yale,N,Undrafted,17,255,1242,14,4.9,73.1,0.8
45,Alan Watson,FCS,Ivy League,N,Columbia,N,Undrafted,10,133,627,1,4.7,62.7,0.1
46,Alex Barnes,FBS,Big 12,Y,Kansas St.,N,Undrafted,25,402,2174,19,5.4,87.0,0.8
47,Alex Collins,FBS,SEC,Y,Arkansas,Y,13.0,38,665,3703,36,5.6,97.4,0.9
48,Alex Fontenot,FBS,Pac-12,Y,Colorado,N,Undrafted,11,185,874,5,4.7,79.5,0.5
49,Alex Gardner,FBS,CUSA,N,FIU,N,Undrafted,37,548,2481,21,4.5,67.1,0.6
50,Alex JAMES,FCS,MEAC,N,South Carolina St.,N,Undrafted,18,132,791,3,6.0,43.9,0.2
51,Alex Lakes,FCS,SoCon,N,Mercer,N,Undrafted,31,433,2248,28,5.2,72.5,0.9
52,Alex Mathews,FCS,Patriot,N,Colgate,N,Undrafted,23,249,1073,10,4.3,46.7,0.4
53,Alex Ramsey,FCS,SoCon,N,VMI,N,Undrafted,12,266,1326,22,5.0,110.5,1.8
54,Alex Ross,FCS,Big South,N,Coastal Carolina,N,Undrafted,13,88,595,4,6.8,45.8,0.3
55,Alex Valles,FCS,Patriot,N,Georgetown,N,Undrafted,11,104,462,3,4.4,42.0,0.3
56,Alexander Mattison,FBS,Mountain West,N,Boise St.,Y,7.0,27,514,2501,29,4.9,92.6,1.1
57,Alfonzo Graham,FCS,MEAC,N,Morgan St.,N,Undrafted,20,250,1656,13,6.6,82.8,0.6
58,Alfred Blue,FBS,SEC,Y,LSU,Y,13.0,13,71,343,1,4.8,26.4,0.1
59,Algernon Brown,FBS,FBS Independent,N,BYU,N,Undrafted,11,127,709,11,5.6,64.5,1.0
60,Alijah Jackson,FCS,Big South,N,Robert Morris,N,Undrafted,42,666,2808,12,4.2,66.9,0.3
61,Allen Smith,FCS,Ivy League,N,Brown,N,Undrafted,30,400,1522,22,3.8,50.7,0.7
62,Alonzo Booth,FCS,OVC,N,Eastern Ky.,N,Undrafted,21,292,1381,21,4.7,65.8,1.0
63,Alonzo Harris,FBS,Sun Belt,N,Louisiana,N,Undrafted,25,371,1749,26,4.7,70.0,1.0
64,Alonzo Smith,FBS,MAC,N,Miami (OH),N,Undrafted,46,572,2613,19,4.6,56.8,0.4
65,Alton McCaskill,FBS,AAC,N,Houston,N,Undrafted,14,189,961,16,5.1,68.6,1.1
66,Alvin Kamara,FBS,SEC,Y,Tennessee,Y,5.0,24,210,1294,16,6.2,53.9,0.7
67,Amar Johnson,FCS,MVFC,N,South Dakota St.,N,Undrafted,44,344,1974,14,5.7,44.9,0.3
68,Amare Jones,FBS,AAC,N,Tulane,N,Undrafted,10,67,389,2,5.8,38.9,0.2
69,Amari Daniels,FBS,SEC,Y,Texas A&M,N,Undrafted,12,105,532,6,5.1,44.3,0.5
70,Amauri Pesek-Hickson,FCS,MVFC,N,UNI,N,Undrafted,8,96,441,5,4.6,55.1,0.6
71,Ameer Abdullah,FBS,Big Ten,Y,Nebraska,Y,4.0,26,545,3301,28,6.1,127.0,1.1
72,Ameer King,FCS,Southland,N,UIW,N,Undrafted,22,183,965,2,5.3,43.9,0.1
73,Amin Woods,FCS,Pioneer,N,Marist,N,Undrafted,21,277,1138,9,4.1,54.2,0.4
74,Andre Clarke,FCS,MEAC,N,N.C. Central,N,Undrafted,20,238,1078,16,4.5,53.9,0.8
75,Andre Givens,FBS,MAC,N,Bowling Green,N,Undrafted,13,101,479,8,4.7,36.8,0.6
76,Andre Stoddard,FCS,SoCon,N,Wofford,N,Undrafted,25,332,1738,26,5.2,69.5,1.0
77,Andre Williams,FBS,ACC,Y,Boston College,Y,8.0,13,355,2177,18,6.1,167.5,1.4
78,Andrew Casten,FCS,Ivy League,N,Harvard,N,Undrafted,8,76,457,8,6.0,57.1,1.0
79,Andrew Clair,FBS,MAC,N,Bowling Green,N,Undrafted,22,242,1427,9,5.9,64.9,0.4
80,Andrew Coke,FCS,Ivy League,N,Brown,N,Undrafted,19,192,808,7,4.2,42.5,0.4
81,Andrew Goldsmith,FCS,OVC,N,Tennessee Tech,N,Undrafted,22,241,1073,6,4.5,48.8,0.3
82,Andrew Pierce,FCS,CAA,N,Delaware,N,Undrafted,12,183,822,10,4.5,68.5,0.8
83,Andrew Van Buren,FBS,Mountain West,N,Boise St.,N,Undrafted,7,111,382,8,3.4,54.6,1.1
84,Angel Johnson,FCS,MVFC,N,South Dakota St.,N,Undrafted,13,43,381,5,8.9,29.3,0.4
85,Antario Brown,FBS,MAC,N,NIU,N,Undrafted,32,403,2523,22,6.3,78.8,0.7
86,Anthon Samuel,FBS,CUSA,N,FIU,N,Undrafted,11,132,582,5,4.4,52.9,0.5
87,Anthone Taylor,FBS,MAC,N,Buffalo,N,Undrafted,31,550,2631,18,4.8,84.9,0.6
88,Anthony Grant,FBS,Big Ten,Y,Nebraska,N,Undrafted,12,218,915,6,4.2,76.2,0.5
89,Anthony Jones,FBS,CUSA,N,FIU,N,Undrafted,24,303,1429,13,4.7,59.5,0.5
90,Anthony Jordan,FCS,MEAC,N,Bethune-Cookman,N,Undrafted,30,351,1665,26,4.7,55.5,0.9
91,Anthony Knight,FCS,Big Sky,N,Montana St.,N,Undrafted,10,116,496,12,4.3,49.6,1.2
92,Anthony McFarland Jr.,FBS,Big Ten,Y,Maryland,Y,12.0,23,245,1648,12,6.7,71.7,0.5
93,Anthony Philyaw,FCS,MEAC,N,Howard,N,Undrafted,32,536,2720,33,5.1,85.0,1.0
94,Anthony Scaccia,FCS,Pioneer,N,Butler,N,Undrafted,11,118,499,4,4.2,45.4,0.4
95,Anthony Wales,FBS,CUSA,N,Western Ky.,N,Undrafted,35,474,3230,41,6.8,92.3,1.2
96,Anthony Watkins,FBS,AAC,N,Tulsa,N,Undrafted,25,283,1523,8,5.4,60.9,0.3
97,Anthony Wilkerson,FBS,Pac-12,Y,Stanford,N,Undrafted,14,84,353,2,4.2,25.2,0.1
98,Anthony Williams,FCS,ASUN,N,SFA,N,Undrafted,11,108,497,4,4.6,45.2,0.4
99,Anthony Williams III,FCS,SWAC,N,Alcorn,N,Undrafted,13,125,723,12,5.8,55.6,0.9
100,Anthony Woods,FCS,Big Sky,N,Idaho,N,Undrafted,24,360,2035,19,5.7,84.8,0.8
101,Antoine Custer Jr.,FCS,Big Sky,N,Eastern Wash.,N,Undrafted,47,547,3045,39,5.6,64.8,0.8
102,Antoinne Jimmerson,FBS,CUSA,N,North Texas,N,Undrafted,24,227,1035,12,4.6,43.1,0.5
103,Antonio Andrews,FBS,Sun Belt,N,Western Ky.,N,Undrafted,12,267,1730,16,6.5,144.2,1.3
104,Antonio Wilcox,FCS,SoCon,N,Furman,N,Undrafted,24,250,1212,20,4.8,50.5,0.8
105,Antonio Williams,FBS,ACC,Y,North Carolina,N,Undrafted,10,91,504,5,5.5,50.4,0.5
106,Antwon Wells,FCS,Southland,N,Central Ark.,N,Undrafted,13,141,580,10,4.1,44.6,0.8
107,Anwar Lewis,FCS,ASUN,N,Jacksonville St.,N,Undrafted,11,115,818,8,7.1,74.4,0.7
108,Aquanius Freeman,FCS,MEAC,N,Howard,N,Undrafted,11,86,421,5,4.9,38.3,0.5
109,Ari Broussard,FBS,CUSA,N,Rice,N,Undrafted,12,116,569,3,4.9,47.4,0.2
110,Arkeel Newsome,FBS,AAC,N,UConn,N,Undrafted,25,330,1507,11,4.6,60.3,0.4
111,Armand Shyne,FBS,Pac-12,Y,Utah,N,Undrafted,14,120,512,5,4.3,36.6,0.4
112,Arnold Walker,FCS,SWAC,N,Alcorn,N,Undrafted,12,224,1191,16,5.3,99.2,1.3
113,Art Thompkins,FBS,MAC,N,Toledo,N,Undrafted,26,202,1192,8,5.9,45.8,0.3
114,Artavis Pierce,FBS,Pac-12,Y,Oregon St.,N,Undrafted,23,244,1396,10,5.7,60.7,0.4
115,Ashton Jeanty,FBS,Mountain West,N,Boise St.,N,Undrafted,26,376,2168,21,5.8,83.4,0.8
116,Asim Rose,FBS,SEC,Y,Kentucky,N,Undrafted,24,255,1492,8,5.9,62.2,0.3
117,Atiq Lucas,FCS,Pioneer,N,Marist,N,Undrafted,22,371,1538,18,4.1,69.9,0.8
118,Aubrey Scott,FCS,Southland,N,Northwestern St.,N,Undrafted,6,37,215,1,5.8,35.8,0.2
119,Audric Estime,FBS,FBS Independent,N,Notre Dame,Y,11.0,25,366,2261,29,6.2,90.4,1.2
120,Aundre Carter,FCS,Big Sky,N,Idaho,N,Undrafted,9,113,615,7,5.4,68.3,0.8
121,Austin Douglas,FCS,SoCon,N,Mercer,N,Undrafted,8,58,403,5,6.9,50.4,0.6
122,Austin Jones,FBS,Pac-12,Y,Southern California,N,Undrafted,33,346,1732,21,5.0,52.5,0.6
123,Austin Medley,FCS,CAA,N,Villanova,N,Undrafted,11,54,310,1,5.7,28.2,0.1
124,Austin Walter,FBS,CUSA,N,Rice,N,Undrafted,13,133,564,4,4.2,43.4,0.3
125,Avery Morrow,FBS,Mountain West,N,Colorado St.,N,Undrafted,12,173,834,4,4.8,69.5,0.3
126,Ayo Adeyi,FBS,AAC,N,North Texas,N,Undrafted,24,255,1824,10,7.2,76.0,0.4
127,B. Femiano,FCS,NEC,N,Bryant,N,Undrafted,11,151,778,6,5.2,70.7,0.5
128,B.J. Baylor,FBS,Pac-12,Y,Oregon St.,N,Undrafted,13,227,1337,13,5.9,102.8,1.0
129,B.J. Bennett,FCS,SoCon,N,Elon,N,Undrafted,10,123,464,4,3.8,46.4,0.4
130,B.J. Catalon,FBS,Big 12,Y,TCU,N,Undrafted,11,107,569,6,5.3,51.7,0.5
131,B.J. Smith,FBS,Sun Belt,N,Troy,N,Undrafted,13,219,1186,13,5.4,91.2,1.0
132,BJ Kelly,FCS,Southland,N,Houston Christian,N,Undrafted,28,368,1690,11,4.6,60.4,0.4
133,Barika Kpeenu,FCS,MVFC,N,North Dakota St.,N,Undrafted,15,96,502,4,5.2,33.5,0.3
134,Barrington Scott,FCS,SWAC,N,Alabama A&M,N,Undrafted,12,245,1063,7,4.3,88.6,0.6
135,Beau Blankenship,FBS,MAC,N,Ohio,N,Undrafted,13,204,910,5,4.5,70.0,0.4
136,Ben Luckett,FBS,Sun Belt,N,ULM,N,Undrafted,13,94,509,2,5.4,39.2,0.2
137,Ben Malena,FBS,SEC,Y,Texas A&M,N,Undrafted,13,115,551,10,4.8,42.4,0.8
138,Ben Robinson,FCS,Big South,N,Charleston So.,N,Undrafted,31,214,1247,9,5.8,40.2,0.3
139,Benny Lemay,FBS,CUSA,N,Charlotte,N,Undrafted,34,562,3057,22,5.4,89.9,0.6
140,Benny Snell Jr.,FBS,SEC,Y,Kentucky,Y,10.0,39,737,3873,48,5.3,99.3,1.2
141,Bentavious Thompson,FBS,AAC,N,UCF,N,Undrafted,22,160,986,13,6.2,44.8,0.6
142,Bhayshul Tuten,FBS,ACC,Y,Virginia Tech,N,Undrafted,24,381,2226,23,5.8,92.8,1.0
143,Bijan Robinson,FBS,Big 12,Y,Texas,Y,1.0,31,539,3410,33,6.3,110.0,1.1
144,Bilal Ally,FBS,FBS Independent,N,Massachusetts,N,Undrafted,12,166,853,7,5.1,71.1,0.6
145,Bill Belton,FBS,Big Ten,Y,Penn St.,N,Undrafted,24,282,1329,11,4.7,55.4,0.5
146,Billy Lucas,FBS,CUSA,N,Liberty,N,Undrafted,38,501,2386,19,4.8,62.8,0.5
147,Billy McCrary III,FCS,Southland,N,Abilene Christian,N,Undrafted,10,88,724,8,8.2,72.4,0.8
148,Bishop Bonnett,FCS,SWAC,N,Florida A&M,N,Undrafted,12,156,993,5,6.4,82.8,0.4
149,Bishop Ford,FCS,MEAC,N,South Carolina St.,N,Undrafted,10,137,567,5,4.1,56.7,0.5
150,Bishop Sankey,FBS,Pac-12,Y,Washington,Y,1.0,13,327,1870,20,5.7,143.8,1.5
151,Bj Perkinson,FCS,Big Sky,N,Sacramento St.,N,Undrafted,21,181,1030,10,5.7,49.0,0.5
152,Blake Corum,FBS,Big Ten,Y,Michigan,Y,3.0,39,648,3660,56,5.6,93.8,1.4
153,Blake Morgan,FCS,SoCon,N,Wofford,N,Undrafted,25,247,1391,17,5.6,55.6,0.7
154,Blake Roberts,FCS,Big South,N,Presbyterian,N,Undrafted,10,52,322,1,6.2,32.2,0.1
155,Blake Veasley,FCS,Southland,N,Central Ark.,N,Undrafted,11,191,899,11,4.7,81.7,1.0
156,Blake Watson,FBS,AAC,N,Memphis,N,Undrafted,35,565,3182,27,5.6,90.9,0.8
157,Bo Bolen,FCS,Big Sky,N,Weber St.,N,Undrafted,23,236,1064,9,4.5,46.3,0.4
158,Bo Scarbrough,FBS,SEC,Y,Alabama,Y,18.0,27,249,1408,19,5.7,52.1,0.7
159,Bobby Cole,FBS,Mountain West,N,New Mexico,N,Undrafted,7,97,548,6,5.6,78.3,0.9
160,Bolu Olorunfunmi,FBS,Pac-12,Y,UCLA,N,Undrafted,12,117,565,5,4.8,47.1,0.4
161,Boston Scott,FBS,CUSA,N,Louisiana Tech,Y,16.0,13,182,1040,8,5.7,80.0,0.6
162,Brad Roberts,FBS,Mountain West,N,Air Force,N,Undrafted,26,643,3080,30,4.8,118.5,1.2
163,Brad Sznajder,FCS,Pioneer,N,Butler,N,Undrafted,23,379,1870,8,4.9,81.3,0.3
164,Brad Woodard,FCS,SWAC,N,Texas Southern,N,Undrafted,33,334,1520,11,4.6,46.1,0.3
165,Bradrick Shaw,FCS,MVFC,N,UNI,N,Undrafted,10,111,462,3,4.2,46.2,0.3
166,Brady Mengarelli,FCS,MVFC,N,South Dakota St.,N,Undrafted,39,408,2345,16,5.7,60.1,0.4
167,Brady Oliveira,FCS,FCS Independent,N,North Dakota,N,Undrafted,34,441,2470,21,5.6,72.6,0.6
168,Braeden West,FBS,AAC,N,SMU,N,Undrafted,36,413,2193,14,5.3,60.9,0.4
169,Braedon Sloan,FCS,ASUN,N,Eastern Ky.,N,Undrafted,23,290,1394,17,4.8,60.6,0.7
170,Braedon Wissler,FCS,ASUN,N,Southern Utah,N,Undrafted,11,146,686,5,4.7,62.4,0.5
171,Braelon Allen,FBS,Big Ten,Y,Wisconsin,Y,10.0,35,597,3494,35,5.9,99.8,1.0
172,Branden Oliver,FBS,MAC,N,Buffalo,N,Undrafted,12,310,1535,15,5.0,127.9,1.2
173,Brandin Byrd,FBS,CUSA,N,North Texas,N,Undrafted,13,202,1075,11,5.3,82.7,0.8
174,Brandon Betancourt,FBS,FBS Independent,N,New Mexico St.,N,Undrafted,8,93,415,2,4.5,51.9,0.2
175,Brandon Burks,FBS,Sun Belt,N,Troy,N,Undrafted,23,297,1589,10,5.4,69.1,0.4
176,Brandon Eldmire,FCS,SWAC,N,Alabama A&M,N,Undrafted,22,214,1080,9,5.0,49.1,0.4
177,Brandon Hall,FCS,Pioneer,N,Valparaiso,N,Undrafted,23,262,1196,12,4.6,52.0,0.5
178,Brandon Hayes,FBS,AAC,N,Memphis,N,Undrafted,24,397,1809,10,4.6,75.4,0.4
179,Brandon Howe,FCS,Big Sky,N,Cal Poly,N,Undrafted,12,183,867,10,4.7,72.2,0.8
180,Brandon Kellerman,FCS,Big Sky,N,Sacramento St.,N,Undrafted,11,80,330,2,4.1,30.0,0.2
181,Brandon Marshall,FCS,SoCon,N,Mercer,N,Undrafted,11,61,273,3,4.5,24.8,0.3
182,Brandon Miller,FBS,Mountain West,N,Wyoming,N,Undrafted,11,83,385,3,4.6,35.0,0.3
183,Brandon Radcliff,FBS,ACC,Y,Louisville,N,Undrafted,38,421,2274,25,5.4,59.8,0.7
184,Brandon Rainey,FCS,SoCon,N,The Citadel,N,Undrafted,14,212,1024,5,4.8,73.1,0.4
185,Brandon Reeves,FCS,Pioneer,N,Morehead St.,N,Undrafted,12,72,455,1,6.3,37.9,0.1
186,Brandon Ross,FBS,Big Ten,Y,Maryland,N,Undrafted,24,316,1734,14,5.5,72.2,0.6
187,Brandon Thomas,FBS,AAC,N,Memphis,N,Undrafted,9,116,669,8,5.8,74.3,0.9
188,Brandon Wilds,FBS,SEC,Y,South Carolina,N,Undrafted,21,229,1137,7,5.0,54.1,0.3
189,Branson Adams,FCS,SoCon,N,Western Caro.,N,Undrafted,11,89,539,3,6.1,49.0,0.3
190,Braydon Bennett,FBS,Sun Belt,N,Coastal Carolina,N,Undrafted,13,74,636,7,8.6,48.9,0.5
191,Breece Hall,FBS,Big 12,Y,Iowa St.,Y,1.0,36,718,3933,50,5.5,109.2,1.4
192,Brelynd Cyphers,FCS,CAA,N,Elon,N,Undrafted,11,113,476,4,4.2,43.3,0.4
193,Brendan Bigelow,FBS,Pac-12,Y,California,N,Undrafted,12,105,421,2,4.0,35.1,0.2
194,Brendan Douglas,FBS,SEC,Y,Georgia,N,Undrafted,12,84,345,3,4.1,28.8,0.2
195,Brenden Brady,FBS,CUSA,N,UTSA,N,Undrafted,12,156,699,9,4.5,58.2,0.8
196,Brenden Knox,FBS,CUSA,N,Marshall,N,Undrafted,36,550,2852,24,5.2,79.2,0.7
197,Brenden Lytton,FCS,NEC,N,Central Conn. St.,N,Undrafted,12,83,438,4,5.3,36.5,0.3
198,Brennan Clay,FBS,Big 12,Y,Oklahoma,N,Undrafted,13,175,957,6,5.5,73.6,0.5
199,Breon Allen,FBS,AAC,N,East Carolina,N,Undrafted,13,134,869,8,6.5,66.8,0.6
200,Brian Battie,FBS,AAC,N,South Fla.,N,Undrafted,12,176,1186,8,6.7,98.8,0.7
201,Brian Fields,FBS,MAC,N,Western Mich.,N,Undrafted,11,150,574,6,3.8,52.2,0.5
202,Brian Hill,FBS,Mountain West,N,Wyoming,Y,16.0,38,775,4287,35,5.5,112.8,0.9
203,Brian Kimbrow,FBS,SEC,Y,Vanderbilt,N,Undrafted,12,81,341,3,4.2,28.4,0.2
204,Brian Mills,FCS,Ivy League,N,Princeton,N,Undrafted,9,58,330,2,5.7,36.7,0.2
205,Brian Robinson Jr.,FBS,SEC,Y,Alabama,Y,6.0,27,362,1826,20,5.0,67.6,0.7
206,Brian Schoenauer,FCS,Ivy League,N,Penn,N,Undrafted,10,124,652,6,5.3,65.2,0.6
207,Brian Snead,FCS,OVC,N,Austin Peay,N,Undrafted,17,187,1015,9,5.4,59.7,0.5
208,Brittain Brown,FBS,Pac-12,Y,UCLA,Y,21.0,30,314,1859,18,5.9,62.0,0.6
209,Broam Hart,FBS,Mountain West,N,Air Force,N,Undrafted,12,113,469,6,4.2,39.1,0.5
210,Brock Reichardt,FCS,Pioneer,N,Drake,N,Undrafted,8,121,504,5,4.2,63.0,0.6
211,Brock Sturges,FBS,Sun Belt,N,Texas St.,N,Undrafted,12,111,532,5,4.8,44.3,0.4
212,Bronson Hill,FBS,MAC,N,Eastern Mich.,N,Undrafted,11,196,1101,5,5.6,100.1,0.5
213,Bronson Rechsteiner,FCS,Big South,N,Kennesaw St.,N,Undrafted,28,211,1354,9,6.4,48.4,0.3
214,Bronson Yoder,FCS,CAA,N,William & Mary,N,Undrafted,25,394,2286,21,5.8,91.4,0.8
215,Bruce Anderson,FCS,MVFC,N,North Dakota St.,N,Undrafted,43,448,2643,23,5.9,61.5,0.5
216,Bryant Barr,FCS,Big South,N,Campbell,N,Undrafted,13,150,667,5,4.4,51.3,0.4
217,Bryant Koback,FBS,MAC,N,Toledo,N,Undrafted,44,679,4026,45,5.9,91.5,1.0
218,Bryce Love,FBS,Pac-12,Y,Stanford,Y,8.0,35,540,3640,28,6.7,104.0,0.8
219,Bryce Williams,FBS,Big Ten,Y,Minnesota,N,Undrafted,13,117,502,4,4.3,38.6,0.3
220,Brycen Alleyne,FCS,MEAC,N,Delaware St.,N,Undrafted,20,278,1221,8,4.4,61.0,0.4
221,Bryson Carroll,FBS,Mountain West,N,New Mexico,N,Undrafted,10,105,536,2,5.1,53.6,0.2
222,Bryson Denley,FBS,MAC,N,Bowling Green,N,Undrafted,12,111,544,4,4.9,45.3,0.3
223,Bryson Irby,FCS,SoCon,N,ETSU,N,Undrafted,9,108,531,5,4.9,59.0,0.6
224,Bubba Poole,FBS,Pac-12,Y,Utah,N,Undrafted,12,149,607,2,4.1,50.6,0.2
225,Buck Logan,FCS,MVFC,N,Indiana St.,N,Undrafted,25,302,1406,8,4.7,56.2,0.3
226,Bucky Irving,FBS,Pac-12,Y,Oregon,Y,6.0,39,475,2937,20,6.2,75.3,0.5
227,Byron Marshall,FBS,Pac-12,Y,Oregon,N,Undrafted,12,168,1038,14,6.2,86.5,1.2
228,C.J. Amill,FCS,Patriot,N,Lafayette,N,Undrafted,10,97,431,4,4.4,43.1,0.4
229,C.J. Okpalobi,FCS,Southland,N,Nicholls,N,Undrafted,11,161,569,5,3.5,51.7,0.5
230,C.J. Prosise,FBS,FBS Independent,N,Notre Dame,Y,4.0,11,156,1032,11,6.6,93.8,1.0
231,C.J. Williams,FCS,Patriot,N,Bucknell,N,Undrafted,6,130,534,0,4.1,89.0,0.0
232,C.J. Wilson,FCS,MVFC,N,South Dakota St.,N,Undrafted,9,69,491,3,7.1,54.6,0.3
233,CJ Beasley,FBS,Sun Belt,N,Coastal Carolina,N,Undrafted,13,140,719,5,5.1,55.3,0.4
234,CJ Donaldson,FBS,Big 12,Y,West Virginia,N,Undrafted,12,171,798,11,4.7,66.5,0.9
235,CJ Evans,FCS,ASUN,N,Austin Peay,N,Undrafted,20,200,1006,10,5.0,50.3,0.5
236,CJ Freeman,FCS,Big South,N,Campbell,N,Undrafted,3,29,148,1,5.1,49.3,0.3
237,CJ Marable,FBS,Sun Belt,N,Coastal Carolina,N,Undrafted,36,491,2691,29,5.5,74.8,0.8
238,CJ Russell,FCS,SWAC,N,Grambling,N,Undrafted,15,147,577,2,3.9,38.5,0.1
239,CJ Verdell,FBS,Pac-12,Y,Oregon,N,Undrafted,27,399,2238,18,5.6,82.9,0.7
240,CJ Williams,FCS,Patriot,N,Bucknell,N,Undrafted,10,212,899,8,4.2,89.9,0.8
241,Cade Carney,FBS,ACC,Y,Wake Forest,N,Undrafted,34,502,2214,19,4.4,65.1,0.6
242,Calan Crowder,FCS,MVFC,N,Missouri St.,N,Undrafted,12,153,766,4,5.0,63.8,0.3
243,Caleb Brown,FCS,Pioneer,N,Mercer,N,Undrafted,12,68,334,8,4.9,27.8,0.7
244,Caleb Huntley,FBS,MAC,N,Ball St.,N,Undrafted,27,538,2715,21,5.0,100.6,0.8
245,Caleb Johnson,FCS,SWAC,N,Prairie View,N,Undrafted,33,510,2157,14,4.2,65.4,0.4
